Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
19,W4WCA,147.390000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,Jasper,,,,
20,KD4CIF,147.120000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Corner,,,,
21,KK4BSK,146.760000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,East Lake,,,,
22,K4YWE,145.330000,-,0.600000,Tone,179.9,179.9,023,NN,Auto,5.00,,Goodwater,,,,
23,WA4CYA,147.140000,+,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,"Hoover, Shades Mountain",,,,
24,N4MYI,146.640000,-,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,Jasper,,,,
25,WB4ACN,146.900000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Jasper,,,,
26,KI4GEA,147.260000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Jasper,,,,
27,N0ZO,145.290000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Randolph,,,,
28,K4VHF,146.620000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Moody, Bald Rock",,,,
29,WB4LYR,147.020000,+,0.600000,Tone,250.3,88.5,023,NN,FM,5.00,,Ohatchee,,,,
30,KE4QCY,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Palmerdale,,,,
